Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  13:00:00,1258.85072337,102.623558531,388.3011292,0.0,243.2593065,310.10971186,537.982451772,431.611905525,70.808374512,35.5621717352
 01/02  14:00:00,1283.51729893,103.184500164,371.63151717,0.0,243.2593065,302.612436532,497.329829606,395.97650206,56.6466996096,44.7066279362
 01/02  15:00:00,1271.70254476,103.557386895,368.142805638,0.0,243.2593065,302.612436532,446.274710947,368.098790241,42.4850247072,35.6908959985
 01/02  16:00:00,1274.15201195,103.823647192,378.090321723,0.0,243.2593065,302.612436532,466.239409406,365.062515684,56.6466996096,44.5301941122
 01/02  17:00:00,1294.1370724,103.667668206,389.14379882,0.0,243.2593065,310.10971186,526.479327105,414.930456346,84.9700494144,26.5788213441
 01/02  18:00:00,1338.76114851,104.039916885,425.619771467,0.0,243.2593065,310.10971186,557.743245101,446.490070186,84.9700494144,26.2831255006
 01/02  19:00:00,1082.38442922,102.203354281,428.242950536,0.0,166.938926447,199.110933808,531.327748306,428.890200103,84.9700494144,17.4674987886
 01/02  20:00:00,1073.36409742,102.203354281,422.59675886,0.0,166.938926447,191.61365848,514.981614403,440.867061772,56.6466996096,17.4678530213
 01/02  21:00:00,933.120611623,102.203354281,417.849752087,0.0,100.150657288,124.558693486,566.303810506,492.188872003,56.6466996096,17.4682388937
 01/02  22:00:00,896.167861959,102.203354281,412.575721194,0.0,100.150657288,124.558693486,560.781111029,500.874864552,42.4850247072,17.4212217707
 01/02  23:00:00,832.404348995,102.203354281,409.333414885,0.0,46.0930336215,124.558693486,555.550322474,518.507959094,28.3233498048,8.71901357517
 01/02  24:00:00,837.114405326,102.203354281,407.548492415,0.0,46.0930336215,124.558693486,557.026642282,525.450932027,14.1616749024,17.4140353528
 01/03  01:00:00,833.072762358,102.203354281,404.561322963,0.0,46.0930336215,113.312780494,553.723481005,530.642703547,5.66466996096,17.4161074971
 01/03  02:00:00,842.237761901,102.203354281,399.663594739,0.0,46.0930336215,113.312780494,549.305581492,534.921550405,5.66466996096,8.71936112657
 01/03  03:00:00,843.121192837,102.203354281,395.166674849,0.0,46.0930336215,113.312780494,563.084489942,540.004492455,5.66466996096,17.4153275261
 01/03  04:00:00,839.4625961,102.203354281,392.495340083,0.0,46.0930336215,113.312780494,567.493850021,544.412472121,5.66466996096,17.4167079389
 01/03  05:00:00,925.379022625,102.203354281,388.005220765,0.0,100.150657288,148.969399434,542.565386586,528.181048113,5.66466996096,8.719668512
 01/03  06:00:00,919.290064529,102.203354281,381.634693832,0.0,100.150657288,149.894399434,877.301510929,845.724337518,14.1616749024,17.4154985087
 01/03  07:00:00,1143.35551574,102.447086985,375.132306967,0.0,176.471037341,302.612436532,652.969910724,607.229274823,28.3233498048,17.4172860959
 01/03  08:00:00,1248.52327562,102.812897161,371.537003691,0.0,243.2593065,310.10971186,619.711100601,552.268574903,42.4850247072,24.9575009906
 01/03  09:00:00,1272.49835611,103.171609349,378.104550345,0.0,243.2593065,310.10971186,575.81138106,491.236742031,56.6466996096,27.9279394196
 01/03  10:00:00,1305.96298008,103.600846906,394.431694231,0.0,243.2593065,302.612436532,524.174059685,446.21530229,42.4850247072,35.4737326879
 01/03  11:00:00,1315.32627087,104.53936736,408.877029841,0.0,243.2593065,310.10971186,515.263371842,408.76043402,70.808374512,35.6945633099
 01/03  12:00:00,1305.98599503,105.769049658,397.371263832,0.0,243.2593065,310.10971186,504.563476408,389.05217824,70.808374512,44.7029236563
 01/03  13:00:00,1251.74993283,107.167209281,377.897863025,0.0,243.2593065,310.10971186,480.226458001,373.845039742,70.808374512,35.5730437473
 01/03  14:00:00,1296.65195183,108.437381393,363.446725207,0.0,243.2593065,302.612436532,446.770258093,345.414758437,56.6466996096,44.7088000468
 01/03  15:00:00,1306.23801389,109.505660526,356.967815655,0.0,243.2593065,302.612436532,408.725571657,321.615794359,42.4850247072,44.6247525908
 01/03  16:00:00,1305.96791087,110.176250536,355.938121138,0.0,243.2593065,302.612436532,413.66391974,321.4051905,56.6466996096,35.6120296307
 01/03  17:00:00,1324.59952981,109.734300144,377.68154524,0.0,243.2593065,310.10971186,494.087711119,373.695793398,84.9700494144,35.4218683063
 01/03  18:00:00,1368.82921355,110.008731264,419.027900529,0.0,243.2593065,310.10971186,510.457583088,407.955179567,84.9700494144,17.5323541072
 01/03  19:00:00,1098.0216395,102.203354281,420.51194578,0.0,166.938926447,199.110933808,518.706733226,416.268882221,84.9700494144,17.4678015907
 01/03  20:00:00,1082.63430841,102.203354281,413.533383737,0.0,166.938926447,191.61365848,506.138008391,432.02605234,56.6466996096,17.4652564414
 01/03  21:00:00,942.14431735,102.203354281,407.272822307,0.0,100.150657288,124.558693486,553.691286719,479.576986444,56.6466996096,17.4676006657
 01/03  22:00:00,899.42631368,102.203354281,403.3727015,0.0,100.150657288,124.558693486,548.2126424,488.304821284,42.4850247072,17.4227964094
 01/03  23:00:00,833.506268003,102.203354281,401.90914075,0.0,46.0930336215,124.558693486,553.415889359,507.676923608,28.3233498048,17.4156159471
 01/03  24:00:00,838.546456185,102.203354281,400.816746992,0.0,46.0930336215,124.558693486,535.700886814,512.820136047,14.1616749024,8.71907586432
 01/04  01:00:00,838.876349479,102.203354281,399.04978922,0.0,46.0930336215,113.312780494,538.867608286,515.786998654,5.66466996096,17.4159396711
 01/04  02:00:00,842.106379036,102.203354281,395.864758474,0.0,46.0930336215,113.312780494,545.518100101,522.437141648,5.66466996096,17.4162884924
 01/04  03:00:00,843.689363357,102.203354281,391.712673493,0.0,46.0930336215,113.312780494,543.09273186,528.708603707,5.66466996096,8.71945819238
 01/04  04:00:00,849.608366189,102.203354281,389.877722329,0.0,46.0930336215,113.312780494,556.484666165,533.404472204,5.66466996096,17.4155239998
 01/04  05:00:00,936.20963366,102.203354281,386.473506103,0.0,100.150657288,148.969399434,542.35636043,519.274765714,5.66466996096,17.4169247552
 01/04  06:00:00,937.903349049,102.382746656,382.018499665,0.0,100.150657288,149.894399434,784.014489907,761.133018596,14.1616749024,8.71979640861
 01/04  07:00:00,1171.89876191,103.204230888,381.223909897,0.0,176.471037341,302.612436532,612.161195071,566.4205674,28.3233498048,17.4172778665
 01/04  08:00:00,1290.12425526,104.670796275,383.837973462,0.0,243.2593065,310.10971186,581.532093369,512.677033308,42.4850247072,26.3700353536
 01/04  09:00:00,1323.04081647,106.472417123,392.579697108,0.0,243.2593065,310.10971186,529.79677039,446.644212587,56.6466996096,26.5058581933
 01/04  10:00:00,1329.37727722,107.779749972,392.042934882,0.0,243.2593065,302.612436532,477.871488191,399.902805949,42.4850247072,35.4836575341
 01/04  11:00:00,1308.0484543,108.70040526,377.188799145,0.0,243.2593065,310.10971186,490.241119533,374.812420853,70.808374512,44.620324168
 01/04  12:00:00,1306.93872187,108.888221741,376.491909279,0.0,243.2593065,310.10971186,492.342463806,385.767586678,70.808374512,35.7665026158
 01/04  13:00:00,1254.03617869,111.002211306,364.218302864,0.0,243.2593065,310.10971186,467.869218503,352.609164912,70.808374512,44.4516790788
 01/04  14:00:00,1281.78286896,112.842459711,344.814153505,0.0,243.2593065,302.612436532,410.005579118,317.594510531,56.6466996096,35.7643689776
 01/04  15:00:00,1283.64752966,113.966126794,338.411157091,0.0,243.2593065,302.612436532,383.066988723,295.969851482,42.4850247072,44.6121125337
 01/04  16:00:00,1290.1030311,114.487547695,338.215995998,0.0,243.2593065,302.612436532,388.500082285,296.229026979,56.6466996096,35.6243556959
 01/04  17:00:00,1300.51668885,113.439319154,372.640346182,0.0,243.2593065,310.10971186,476.467442125,356.068159364,84.9700494144,35.4292333458
 01/04  18:00:00,1355.97832393,113.372350189,418.884702605,0.0,243.2593065,310.10971186,494.84952126,392.350399222,84.9700494144,17.5290726238
 01/04  19:00:00,1099.7498069,102.203354281,425.357504831,0.0,166.938926447,199.110933808,510.08475328,407.644053952,84.9700494144,17.4706499132
 01/04  20:00:00,1085.00845598,102.203354281,415.314451492,0.0,166.938926447,191.61365848,502.152196512,423.745785172,56.6466996096,21.7597117305
 01/04  21:00:00,943.32337898,102.203354281,407.892882488,0.0,100.150657288,124.558693486,550.237131394,471.69355379,56.6466996096,21.8968779949
 01/04  22:00:00,900.002417275,102.203354281,403.595032261,0.0,100.150657288,124.558693486,532.044829701,480.837835736,42.4850247072,8.72196925777
 01/04  23:00:00,837.26896445,102.203354281,400.500930015,0.0,46.0930336215,124.558693486,547.660872094,501.922534921,28.3233498048,17.4149873679
 01/04  24:00:00,836.785059524,102.203354281,395.817052944,0.0,46.0930336215,124.558693486,543.467359121,511.88931853,14.1616749024,17.4163656881
 01/05  01:00:00,825.71891375,102.203354281,391.503885206,0.0,46.0930336215,113.312780494,534.079584575,519.695368212,5.66466996096,8.71954640147
 01/05  02:00:00,825.832810624,102.203354281,389.207286416,0.0,46.0930336215,113.312780494,546.898655107,523.818270093,5.66466996096,17.4157150535
 01/05  03:00:00,826.86473579,102.203354281,389.716243747,0.0,46.0930336215,113.312780494,548.742543901,525.660730965,5.66466996096,17.4171429753
 01/05  04:00:00,828.590964211,102.203354281,390.569593155,0.0,46.0930336215,113.312780494,543.404588074,529.021500293,5.66466996096,8.71841781973
 01/05  05:00:00,929.978186762,102.203354281,389.173955479,0.0,100.150657288,148.969399434,537.585707561,514.504701501,5.66466996096,17.4163360989
 01/05  06:00:00,932.529617703,102.69357794,386.119051864,0.0,100.150657288,149.894399434,772.75626787,741.176775375,14.1616749024,17.4178175924
 01/05  07:00:00,1165.76710839,103.966148836,384.583179231,0.0,176.471037341,302.612436532,596.181036693,559.14041483,28.3233498048,8.71727205778
 01/05  08:00:00,1283.09544805,106.532712849,381.950672155,0.0,243.2593065,310.10971186,578.958612358,510.103690517,42.4850247072,26.3698971339
 01/05  09:00:00,1296.09094284,108.197887133,386.396104472,0.0,243.2593065,310.10971186,548.076884785,456.095377528,56.6466996096,35.3348076478
 01/05  10:00:00,1332.01639773,109.526390534,396.452687015,0.0,243.2593065,302.612436532,481.549374616,403.589936483,42.4850247072,35.4744134258
 01/05  11:00:00,1323.81949986,110.888874516,390.285985053,0.0,243.2593065,310.10971186,472.191654821,365.697439148,70.808374512,35.6858411605
 01/05  12:00:00,1300.97556652,112.173271669,372.471064281,0.0,243.2593065,310.10971186,466.602466987,351.08124132,70.808374512,44.7128511543
 01/05  13:00:00,1250.18082976,113.478709307,350.423036984,0.0,243.2593065,310.10971186,444.308741624,337.935204872,70.808374512,35.5651622391
 01/05  14:00:00,1288.2888582,114.727646248,339.058838436,0.0,243.2593065,302.612436532,413.301911447,311.944294384,56.6466996096,44.7109174541
 01/05  15:00:00,1282.42387808,115.528751443,342.460412991,0.0,243.2593065,302.612436532,374.478273129,296.298479904,42.4850247072,35.694768518
 01/05  16:00:00,1283.73845848,116.072155505,346.973341395,0.0,243.2593065,302.612436532,396.66957937,295.495174476,56.6466996096,44.5277052849
