days_ap_kor_amt,days_unit_ap_qty,days_unit_price,incremental_number,org_display,ap_date
130000,10,13000,8950,Iksan VIP,2013-03-07T00:00:00.0000000
130000,20,6500,3845,Iksan VIP,2014-12-05T00:00:00.0000000
133000,22,40850,5855,Iksan VIP,2015-11-04T00:00:00.0000000
135000,1,135000,7844,Gwangyang,2016-08-12T00:00:00.0000000
135500,43,33100,758,Iksan VIP,2012-02-21T00:00:00.0000000
136000,4,34000,1290,Jungbu Incheon,2019-01-28T00:00:00.0000000
139500,105,12320,13244,Iksan VIP,2015-07-29T00:00:00.0000000
140000,1,140000,1625,Gwangyang,2016-03-10T00:00:00.0000000
140000,1,140000,14135,Gwangyang,2011-11-25T00:00:00.0000000
140000,40,24700,5681,Iksan VIP,2019-03-30T00:00:00.0000000
145500,10,14550,2584,Iksan VIP,2012-10-09T00:00:00.0000000
145500,10,14550,12787,Iksan VIP,2012-07-10T00:00:00.0000000
146270,1,146270,2663,Pohang,2019-04-17T00:00:00.0000000
146800,10,14680,8403,Iksan VIP,2012-05-29T00:00:00.0000000
150000,1,150000,3185,Gwangyang,2010-12-08T00:00:00.0000000
150000,1,150000,3673,Iksan,2013-07-23T00:00:00.0000000
150000,1,150000,8474,Iksan,2015-11-06T00:00:00.0000000
150000,1,150000,9391,Gwangyang,2012-08-06T00:00:00.0000000
150000,1,150000,14190,Iksan VIP,2011-11-08T00:00:00.0000000
151950,110,22680,10008,Iksan VIP,2015-12-01T00:00:00.0000000
160000,1,160000,3809,Gwangyang,2011-09-05T00:00:00.0000000
160000,1,160000,10464,Iksan VIP,2015-06-02T00:00:00.0000000
160000,1,160000,11475,Gwangyang,2010-01-18T00:00:00.0000000
165000,101,80850,11849,Iksan VIP,2016-04-25T00:00:00.0000000
165600,5,33120,12405,Iksan VIP,2015-10-01T00:00:00.0000000
166500,90,1850,3178,Iksan VIP,2015-01-14T00:00:00.0000000
166800,12,13900,12281,Iksan VIP,2014-08-14T00:00:00.0000000
170000,1,170000,2472,Gwangyang,2018-02-20T00:00:00.0000000
170000,1,170000,14806,Gwangyang,2016-02-24T00:00:00.0000000
171000,60,2850,9470,Iksan,2020-04-10T00:00:00.0000000
175000,5000,35,1734,Iksan,2014-11-05T00:00:00.0000000
175000,5000,35,9100,Iksan,2015-10-15T00:00:00.0000000
178000,10,35600,9350,Iksan VIP,2014-04-02T00:00:00.0000000
178720,74,29510,10345,Iksan VIP,2014-11-13T00:00:00.0000000
180000,1,180000,6976,Gwangyang,2020-05-28T00:00:00.0000000
180000,60,3000,9902,Iksan,2011-02-08T00:00:00.0000000
180000,175,9350,1558,Iksan VIP,2015-02-24T00:00:00.0000000
180000,500,360,7032,Iksan VIP,2016-11-11T00:00:00.0000000
180000,1000,180,6044,Iksan VIP,2016-02-02T00:00:00.0000000
181500,3,60500,2803,Iksan,2018-01-02T00:00:00.0000000
184000,25,14600,9652,Iksan VIP,2016-02-18T00:00:00.0000000
185000,55,10000,7222,Iksan VIP,2014-09-02T00:00:00.0000000
185000,70,5350,10094,Iksan VIP,2015-10-08T00:00:00.0000000
189000,6,63000,1711,Iksan VIP,2017-05-11T00:00:00.0000000
189720,206,29740,3324,Iksan VIP,2015-07-28T00:00:00.0000000
190000,1,190000,3686,Gwangyang,2016-07-13T00:00:00.0000000
190000,1,190000,11307,Gwangyang,2016-06-03T00:00:00.0000000
195600,6,32600,8383,Iksan,2015-03-11T00:00:00.0000000
198000,1,198000,1871,Gwangyang,2016-06-20T00:00:00.0000000
200000,1,200000,914,Iksan,2011-11-04T00:00:00.0000000
200000,1,200000,4588,Iksan VIP,2015-11-27T00:00:00.0000000
200000,1,200000,7412,Pohang,2020-01-20T00:00:00.0000000
200000,1,200000,7653,Gwangyang,2015-12-04T00:00:00.0000000
200000,1,200000,8133,Iksan,2012-11-09T00:00:00.0000000
200000,1,200000,11829,Gwangyang,2011-08-19T00:00:00.0000000
200000,1,200000,14040,Iksan VIP,2015-04-01T00:00:00.0000000
200000,4,100000,1675,Iksan VIP,2020-05-20T00:00:00.0000000
200000,5,40000,2340,Iksan VIP,2020-03-25T00:00:00.0000000
200000,10,20000,1553,Iksan VIP,2013-08-14T00:00:00.0000000
200000,10,20000,10573,Iksan VIP,2013-07-05T00:00:00.0000000
200000,200,1000,1488,Gwangyang,2010-09-03T00:00:00.0000000
206000,1,206000,8347,Pohang,2019-02-14T00:00:00.0000000
208900,14,158500,173,Iksan,2011-06-14T00:00:00.0000000
210000,10,21000,13626,Iksan,2018-07-12T00:00:00.0000000
210000,6000,35,1126,Iksan,2013-04-11T00:00:00.0000000
210000,6000,35,9290,Iksan,2013-03-12T00:00:00.0000000
210600,43,144900,872,Iksan VIP,2011-04-05T00:00:00.0000000
213200,2,106600,4299,Iksan VIP,2011-03-22T00:00:00.0000000
215000,5,43000,7966,Iksan VIP,2018-07-05T00:00:00.0000000
215000,6000,75,10494,Iksan,2017-04-21T00:00:00.0000000
216500,3,175000,13494,Iksan VIP,2012-03-21T00:00:00.0000000
216500,176,28700,12213,Iksan VIP,2014-10-02T00:00:00.0000000
220000,2,110000,2039,Iksan,2011-11-10T00:00:00.0000000
220000,10,22000,10418,Iksan VIP,2018-04-18T00:00:00.0000000
220800,1,220800,895,Iksan,2013-10-10T00:00:00.0000000
222000,300,740,8268,Iksan VIP,2014-08-25T00:00:00.0000000
223000,1,223000,12102,Iksan,2014-02-06T00:00:00.0000000
225000,3,75000,4642,Iksan,2017-06-19T00:00:00.0000000
225000,6000,75,1522,Iksan,2015-11-17T00:00:00.0000000
225000,6000,75,2665,Iksan,2014-04-17T00:00:00.0000000
225000,6000,75,11471,Iksan,2016-02-16T00:00:00.0000000
229600,80,2870,1115,Iksan,2017-11-20T00:00:00.0000000
230000,1,230000,1349,Pohang,2018-10-17T00:00:00.0000000
230000,1000,230,13074,Iksan VIP,2014-01-14T00:00:00.0000000
230600,1007,84240,1783,Iksan,2017-08-17T00:00:00.0000000
232500,3,77500,13093,Iksan,2014-08-01T00:00:00.0000000
