days_ap_kor_amt,days_unit_ap_qty,days_unit_price,incremental_number,org_display,ap_date
2200000,1,2200000,13925,Gwangyang,2019-08-20T00:00:00.0000000
2200000,2,1100000,707,Gwangyang,2019-03-18T00:00:00.0000000
2200000,500,4400,2692,Iksan,2016-03-24T00:00:00.0000000
2204000,254,33800,14726,Iksan VIP,2017-12-28T00:00:00.0000000
2204064,216,10,5366,Iksan,2014-06-02T00:00:00.0000000
2229552,216,10,6170,Iksan,2014-05-03T00:00:00.0000000
2230000,1,2230000,6992,Pohang,2017-05-17T00:00:00.0000000
2234676,5,1364,7846,Gunsan Chemical,2014-04-16T00:00:00.0000000
2250000,1,2250000,10746,Pohang,2012-08-27T00:00:00.0000000
2250000,2,1000000,3738,Pohang,2016-09-01T00:00:00.0000000
2250000,3,2250000,3089,Gwangyang,2011-01-26T00:00:00.0000000
2250000,3,2250000,4279,Gwangyang,2012-02-21T00:00:00.0000000
2250000,4,2250000,2903,Gwangyang,2017-07-20T00:00:00.0000000
2254600,54,1009130,5619,Jungbu Incheon,2018-03-28T00:00:00.0000000
2256000,1,2256000,3938,Pohang,2010-11-08T00:00:00.0000000
2260000,2,2260000,6980,Gwangyang,2013-03-22T00:00:00.0000000
2260000,5,2260000,7217,Gwangyang,2013-04-02T00:00:00.0000000
2260330,205,10,6008,Iksan,2013-05-13T00:00:00.0000000
2265000,1500,3140,14206,Gwangyang,2013-12-25T00:00:00.0000000
2265025,215,10,13766,Iksan,2013-12-15T00:00:00.0000000
2267000,241,179600,11735,Iksan VIP,2018-09-29T00:00:00.0000000
2268864,216,10,2190,Iksan,2014-01-04T00:00:00.0000000
2270000,2000,1135,12979,Iksan,2013-06-27T00:00:00.0000000
2276300,26780,85,7352,Gunsan RE,2010-04-12T00:00:00.0000000
2277198,1,1736,11145,Gunsan RE,2019-09-24T00:00:00.0000000
2280000,1,2280000,4880,Gwangyang,2013-04-20T00:00:00.0000000
2282000,760,9100,227,Iksan,2018-10-08T00:00:00.0000000
2282000,760,9100,9622,Iksan,2019-05-08T00:00:00.0000000
2288200,2,2288200,13264,Pohang,2014-12-18T00:00:00.0000000
2293704,216,10,5869,Iksan,2014-02-17T00:00:00.0000000
2298672,216,10,6330,Iksan,2014-01-19T00:00:00.0000000
2299000,2,2299000,3367,Gwangyang,2019-04-01T00:00:00.0000000
2299104,216,10,11806,Iksan,2013-10-19T00:00:00.0000000
2300000,1,2300000,5891,Iksan,2014-07-14T00:00:00.0000000
2300000,1,2300000,6697,Gwangyang,2019-12-12T00:00:00.0000000
2300000,2,2300000,12969,Gwangyang,2018-01-25T00:00:00.0000000
2305584,216,10,3989,Iksan,2014-03-16T00:00:00.0000000
2307230,0,26900,8795,Gunsan RE,2012-04-06T00:00:00.0000000
2310000,6,2000000,8944,Iksan,2018-08-23T00:00:00.0000000
2324160,216,10,2543,Iksan,2011-09-14T00:00:00.0000000
2332584,216,10,10300,Iksan,2011-05-11T00:00:00.0000000
2339712,216,10,3455,Iksan,2013-09-14T00:00:00.0000000
2340000,2,2340000,587,Gwangyang,2018-12-20T00:00:00.0000000
2340000,2,2340000,12398,Gwangyang,2018-05-27T00:00:00.0000000
2340000,4000,1170,11691,Jungbu Incheon,2010-01-09T00:00:00.0000000
2343180,20000,0,4485,Gunsan Chemical,2010-04-21T00:00:00.0000000
2350000,3,2350000,7910,Gwangyang,2018-01-12T00:00:00.0000000
2351340,20480,3663,12036,Iksan,2020-05-12T00:00:00.0000000
2357200,78,827500,4243,Iksan VIP,2013-06-29T00:00:00.0000000
2358000,7361,101575,4581,Iksan,2014-06-18T00:00:00.0000000
2360000,1,2360000,738,Iksan,2014-04-02T00:00:00.0000000
2360000,550,7400,12753,Gwangyang,2015-03-17T00:00:00.0000000
2365000,3,2365000,8669,Iksan VIP,2013-01-22T00:00:00.0000000
2366000,1300,1820,1423,Iksan VIP,2011-07-12T00:00:00.0000000
2370000,1,2370000,1085,Gwangyang,2020-01-09T00:00:00.0000000
2373600,18000,276,9130,Iksan VIP,2011-08-30T00:00:00.0000000
2374420,311,526850,5024,Iksan VIP,2014-01-27T00:00:00.0000000
2380000,1,2380000,8972,Gwangyang,2010-09-24T00:00:00.0000000
2381000,2,2381000,3924,Iksan,2016-03-29T00:00:00.0000000
2384000,3,2384000,8196,Gwangyang,2011-05-23T00:00:00.0000000
2390000,2,2390000,12406,Gwangyang,2018-03-21T00:00:00.0000000
2393000,1,2393000,2078,Pohang,2012-12-22T00:00:00.0000000
2393060,48,2086650,13902,Iksan,2019-06-18T00:00:00.0000000
2393200,1,2393200,11390,Gunsan RE,2019-08-19T00:00:00.0000000
2394065,217,45610,645,Iksan,2014-02-03T00:00:00.0000000
2400000,1,2400000,6228,Pohang,2014-07-01T00:00:00.0000000
2400000,1,2400000,7570,Gwangyang,2011-12-08T00:00:00.0000000
2400000,1,2400000,8752,Gwangyang,2012-03-09T00:00:00.0000000
2400000,1,2400000,11309,Iksan VIP,2015-02-28T00:00:00.0000000
2400000,4,1600000,8147,Gwangyang,2014-05-20T00:00:00.0000000
2400000,32,75000,12038,Iksan VIP,2014-07-08T00:00:00.0000000
2400000,100,24000,4440,Gunsan RE,2013-02-22T00:00:00.0000000
2404000,760,6500,4913,Iksan,2012-02-14T00:00:00.0000000
2408900,18530,130,6413,Gwangyang,2014-11-22T00:00:00.0000000
2411208,216,10,1121,Iksan,2013-08-06T00:00:00.0000000
2418768,216,10,5397,Iksan,2012-03-09T00:00:00.0000000
2420000,1,2420000,12915,Iksan,2010-06-18T00:00:00.0000000
2420000,2,2420000,4589,Pohang,2017-10-19T00:00:00.0000000
2426976,216,10,7126,Iksan,2013-06-11T00:00:00.0000000
2428800,41,354660,5806,Iksan VIP,2014-10-24T00:00:00.0000000
2430000,51,489600,4981,Gwangyang,2016-09-05T00:00:00.0000000
2431800,2310,11650,5684,Gwangyang,2017-02-25T00:00:00.0000000
2433024,216,10,9912,Iksan,2012-02-02T00:00:00.0000000
2437690,2,2437690,4305,Pohang,2020-03-25T00:00:00.0000000
2441880,216,10,13802,Iksan,2012-09-10T00:00:00.0000000
2442744,216,10,7359,Iksan,2011-12-09T00:00:00.0000000
2444040,216,10,12811,Iksan,2011-11-05T00:00:00.0000000
2444160,140,33,11809,Gunsan RE,2014-03-05T00:00:00.0000000
2450000,1,2450000,7632,Gwangyang,2016-12-02T00:00:00.0000000
2450000,1,2450000,9476,Iksan,2019-11-22T00:00:00.0000000
2450000,1,2450000,10029,Pohang,2018-02-12T00:00:00.0000000
2450000,1,2450000,10437,Iksan,2016-02-19T00:00:00.0000000
2450952,216,10,14787,Iksan,2012-01-25T00:00:00.0000000
2458800,2124,1137265,12814,Iksan,2019-09-10T00:00:00.0000000
2459720,228,803460,12254,Iksan,2018-08-27T00:00:00.0000000
2460000,5,984000,5365,Iksan,2016-01-20T00:00:00.0000000
2460000,8,660000,11398,Iksan,2013-06-18T00:00:00.0000000
2462400,216,10,11068,Iksan,2012-05-10T00:00:00.0000000
2462832,216,10,6814,Iksan,2013-07-05T00:00:00.0000000
2470000,16250,152,6985,Iksan VIP,2016-08-18T00:00:00.0000000
2474000,2,2474000,12806,Gwangyang,2011-04-08T00:00:00.0000000
2478384,216,10,11462,Iksan,2012-01-05T00:00:00.0000000
2500000,1,2500000,612,Gunsan RE,2017-06-20T00:00:00.0000000
2500000,1,2500000,11742,Gwangyang,2018-01-22T00:00:00.0000000
2500000,1,2500000,13703,Pohang,2011-01-26T00:00:00.0000000
2500000,50,50000,11986,Iksan VIP,2016-08-29T00:00:00.0000000
2501712,216,10,1123,Iksan,2012-06-20T00:00:00.0000000
2502360,216,10,9359,Iksan,2011-12-15T00:00:00.0000000
2508000,12,418000,1344,Gwangyang,2012-02-15T00:00:00.0000000
2508490,527,198000,7872,Iksan,2010-07-19T00:00:00.0000000
2511000,2,2511000,13642,Pohang,2010-06-29T00:00:00.0000000
2514000,21,842000,6100,Gwangyang,2019-09-27T00:00:00.0000000
2520000,4,630000,235,Iksan VIP,2012-08-24T00:00:00.0000000
2525000,65,71000,9756,Iksan VIP,2019-09-27T00:00:00.0000000
2530000,1,2530000,3366,Gwangyang,2019-10-21T00:00:00.0000000
2537525,12786,27497,10250,Iksan VIP,2013-08-31T00:00:00.0000000
2542000,42,1279000,1702,Iksan VIP,2015-09-07T00:00:00.0000000
2550000,3000,850,13678,Gunsan Chemical,2015-11-09T00:00:00.0000000
2553000,21,253000,5154,Gunsan Chemical,2015-08-18T00:00:00.0000000
2560000,4,2560000,2754,Pohang,2019-08-20T00:00:00.0000000
2561000,9,1216000,13095,Iksan,2019-12-19T00:00:00.0000000
2573260,97,2090490,10479,Jungbu Incheon,2010-09-05T00:00:00.0000000
2575312,217,160010,12856,Iksan,2013-08-26T00:00:00.0000000
2577000,860,9100,3055,Iksan,2017-06-09T00:00:00.0000000
2580000,1,2580000,6751,Gwangyang,2014-07-10T00:00:00.0000000
2580000,1,2580000,10211,Pohang,2018-04-13T00:00:00.0000000
2582000,761,309100,4282,Iksan,2018-02-07T00:00:00.0000000
2592990,1839,1410,12099,Gunsan Chemical,2010-08-25T00:00:00.0000000
2596300,820,1021669,1549,Iksan,2017-08-10T00:00:00.0000000
2597000,5,2597000,1153,Pohang,2014-08-26T00:00:00.0000000
2600000,1,2600000,418,Gwangyang,2015-11-03T00:00:00.0000000
2600000,1,2600000,468,Gwangyang,2019-09-11T00:00:00.0000000
2600000,1,2600000,607,Pohang,2012-04-24T00:00:00.0000000
2600000,1,2600000,2333,Gwangyang,2017-08-04T00:00:00.0000000
2600000,1,2600000,4605,Pohang,2011-06-23T00:00:00.0000000
2600000,1,2600000,7442,Pohang,2019-06-20T00:00:00.0000000
2600000,1,2600000,9781,Pohang,2016-04-25T00:00:00.0000000
2600000,2,2600000,524,Pohang,2017-12-23T00:00:00.0000000
2600000,2,2600000,9092,Iksan,2012-08-14T00:00:00.0000000
2616000,46,327000,6379,Iksan,2012-03-16T00:00:00.0000000
2630300,3,2630300,9679,Iksan,2011-08-03T00:00:00.0000000
2635000,1001,2600035,12033,Iksan,2012-06-22T00:00:00.0000000
2650000,2,2650000,4673,Gwangyang,2018-08-23T00:00:00.0000000
2650000,7,1200000,1609,Iksan,2012-02-03T00:00:00.0000000
2650000,50,53000,3285,Iksan,2013-07-09T00:00:00.0000000
2656500,1610,1650,3073,Iksan VIP,2019-10-25T00:00:00.0000000
2670000,3000,890,9784,Iksan,2015-07-27T00:00:00.0000000
2670032,212,121779,12162,Iksan,2014-09-19T00:00:00.0000000
2670300,22500,118,9910,Iksan VIP,2011-07-27T00:00:00.0000000
2670300,22500,118,14022,Iksan VIP,2011-06-17T00:00:00.0000000
2677644,50,5400,487,Gunsan Chemical,2014-10-21T00:00:00.0000000
2700000,1,2700000,474,Gwangyang,2015-11-27T00:00:00.0000000
2700000,1,2700000,4267,Gwangyang,2011-12-13T00:00:00.0000000
2700000,1,2700000,6643,Gwangyang,2011-12-02T00:00:00.0000000
2700000,1,2700000,9948,Gwangyang,2014-07-04T00:00:00.0000000
2700000,1,2700000,11383,Gwangyang,2018-11-06T00:00:00.0000000
2700000,2,2700000,2774,Gwangyang,2017-03-13T00:00:00.0000000
2700000,8,675000,3833,Gunsan Chemical,2010-11-03T00:00:00.0000000
2700000,15,180000,3748,Iksan VIP,2019-07-02T00:00:00.0000000
2700000,15,180000,12040,Iksan VIP,2019-07-18T00:00:00.0000000
2704500,875,26100,4419,Iksan,2017-07-17T00:00:00.0000000
2714100,1,2714100,3631,Gunsan Chemical,2011-03-23T00:00:00.0000000
2720000,4,2720000,3470,Gwangyang,2012-11-01T00:00:00.0000000
2730000,1,2730000,4832,Iksan VIP,2015-10-31T00:00:00.0000000
2731900,3,2731900,10602,Gwangyang,2015-07-22T00:00:00.0000000
2732280,12216,45,11025,Iksan,2013-10-14T00:00:00.0000000
2744532,2800,0,9093,Gunsan RE,2014-11-11T00:00:00.0000000
2750000,8,1015000,6434,Iksan VIP,2012-10-29T00:00:00.0000000
2760000,3,920000,6602,Iksan,2011-05-09T00:00:00.0000000
2760000,3,2760000,10538,Gwangyang,2011-05-13T00:00:00.0000000
2774660,3,2774660,10585,Gwangyang,2020-03-16T00:00:00.0000000
2780000,204,1624400,3113,Gwangyang,2012-06-27T00:00:00.0000000
2783736,296,13,9603,Iksan,2012-05-02T00:00:00.0000000
2784000,723,43700,7469,Iksan VIP,2019-04-26T00:00:00.0000000
2798250,150,55900,4336,Iksan VIP,2014-09-26T00:00:00.0000000
2800000,1,2800000,529,Gwangyang,2010-03-23T00:00:00.0000000
2800000,1,2800000,3264,Gwangyang,2013-05-29T00:00:00.0000000
2800000,1,2800000,4354,Gwangyang,2018-09-10T00:00:00.0000000
2800000,1,2800000,8341,Gwangyang,2012-11-14T00:00:00.0000000
2800000,1,2800000,9425,Pohang,2016-09-23T00:00:00.0000000
2800000,1,2800000,9759,Iksan,2019-06-25T00:00:00.0000000
2800000,3,2800000,13295,Gwangyang,2017-04-05T00:00:00.0000000
2800000,6,2800000,10100,Gwangyang,2014-01-21T00:00:00.0000000
2800000,7,2800000,2777,Gwangyang,2012-11-17T00:00:00.0000000
2800000,20,280000,8071,Iksan,2011-04-12T00:00:00.0000000
2800000,600,14000,8786,Iksan,2020-05-21T00:00:00.0000000
2813491,400,6,7602,Iksan,2011-12-02T00:00:00.0000000
2819500,6,2476,14722,Iksan,2012-09-16T00:00:00.0000000
2820000,3,2820000,12531,Gwangyang,2013-06-26T00:00:00.0000000
2830000,1,2830000,1145,Pohang,2017-07-03T00:00:00.0000000
2830000,2,2830000,9978,Gwangyang,2018-11-23T00:00:00.0000000
2840000,60,92000,8007,Iksan VIP,2015-03-04T00:00:00.0000000
2847500,632,348100,32,Iksan,2018-02-23T00:00:00.0000000
2849000,2,2849000,10273,Gwangyang,2013-05-16T00:00:00.0000000
2850000,1,2850000,5373,Gwangyang,2016-04-22T00:00:00.0000000
2850000,2,2850000,6096,Gwangyang,2018-04-17T00:00:00.0000000
2858000,2,2858000,478,Iksan VIP,2012-06-12T00:00:00.0000000
2860000,1,2860000,573,Gwangyang,2018-11-09T00:00:00.0000000
2866050,8390,21065,1808,Iksan,2019-03-30T00:00:00.0000000
2868000,4,2868000,12897,Gwangyang,2015-10-27T00:00:00.0000000
2872000,960,9100,1174,Iksan,2017-08-07T00:00:00.0000000
2872000,960,9100,6372,Iksan,2019-10-10T00:00:00.0000000
2882000,2,2882000,13313,Gwangyang,2018-04-26T00:00:00.0000000
2886000,4,2863000,8262,Iksan VIP,2015-07-01T00:00:00.0000000
2891250,8251,1200205,12953,Gwangyang,2017-06-26T00:00:00.0000000
2894000,11,1997000,5549,Gwangyang,2017-03-29T00:00:00.0000000
2900000,1,2900000,1931,Gwangyang,2010-02-20T00:00:00.0000000
2900000,1,2900000,3218,Pohang,2011-04-07T00:00:00.0000000
2900000,1,2900000,11613,Pohang,2019-06-12T00:00:00.0000000
2900000,1,2900000,13486,Gwangyang,2015-06-03T00:00:00.0000000
2900000,1,2900000,14768,Gwangyang,2014-07-22T00:00:00.0000000
2900000,5000,580,8870,Iksan,2018-12-13T00:00:00.0000000
2907200,289,352490,6227,Iksan,2011-05-26T00:00:00.0000000
2910000,1,2910000,6164,Iksan VIP,2016-03-21T00:00:00.0000000
2920000,3,2920000,12739,Gwangyang,2016-12-22T00:00:00.0000000
2940900,2865,495230,11888,Iksan,2017-06-20T00:00:00.0000000
2948000,1500,3960,12294,Iksan VIP,2015-05-15T00:00:00.0000000
2949750,28500,103,8836,Iksan VIP,2015-08-24T00:00:00.0000000
2956000,2,2956000,6962,Pohang,2019-06-14T00:00:00.0000000
2960000,3,2960000,151,Gwangyang,2018-02-02T00:00:00.0000000
2961000,70,254000,12846,Iksan VIP,2013-12-27T00:00:00.0000000
2973500,178,2005500,4811,Iksan,2014-12-10T00:00:00.0000000
2981000,20234,266055,12089,Iksan,2018-10-11T00:00:00.0000000
2982000,4,2982000,3499,Gwangyang,2011-03-16T00:00:00.0000000
2986000,27,2948600,12507,Iksan,2017-09-18T00:00:00.0000000
2997060,25,12000,9282,Gunsan Chemical,2014-10-14T00:00:00.0000000
3000000,1,3000000,1094,Gwangyang,2016-01-11T00:00:00.0000000
3000000,1,3000000,3361,Gwangyang,2013-05-23T00:00:00.0000000
3000000,1,3000000,4298,Iksan,2019-04-01T00:00:00.0000000
3000000,1,3000000,6033,Pohang,2017-07-12T00:00:00.0000000
3000000,1,3000000,6630,Iksan,2010-07-23T00:00:00.0000000
3000000,1,3000000,8436,Pohang,2018-03-09T00:00:00.0000000
3000000,1,3000000,8929,Iksan VIP,2011-03-25T00:00:00.0000000
3000000,1,3000000,8991,Gunsan RE,2010-02-27T00:00:00.0000000
3000000,1,3000000,12117,Pohang,2019-08-12T00:00:00.0000000
3000000,1,3000000,12619,Pohang,2017-04-13T00:00:00.0000000
3000000,1,3000000,14096,Gwangyang,2012-05-03T00:00:00.0000000
3000000,1,3200000,6147,Pohang,2017-06-18T00:00:00.0000000
3000000,3,1000000,14532,Pohang,2015-07-07T00:00:00.0000000
3000000,25,210000,5834,Iksan VIP,2019-06-10T00:00:00.0000000
3000000,2000,1500,2055,Iksan,2018-03-13T00:00:00.0000000
3000000,2000,1500,2931,Iksan,2017-01-03T00:00:00.0000000
3000000,2000,1500,9459,Iksan,2017-08-11T00:00:00.0000000
3002312,236,28010,3770,Iksan,2012-04-09T00:00:00.0000000
3006438,3001,2571,7541,Iksan,2012-07-10T00:00:00.0000000
3015969,19,1532,2022,Iksan,2010-09-17T00:00:00.0000000
3021000,271,384800,2308,Iksan,2012-01-17T00:00:00.0000000
3025000,2141,83200,9712,Iksan VIP,2011-10-26T00:00:00.0000000
3036960,19980,152,4146,Iksan VIP,2016-06-21T00:00:00.0000000
3045000,1,3045000,128,Gwangyang,2015-05-12T00:00:00.0000000
3050000,3,2875000,8434,Iksan VIP,2014-10-30T00:00:00.0000000
3050000,90,71000,12337,Iksan VIP,2017-07-26T00:00:00.0000000
3058250,20151,1950055,14372,Iksan,2015-12-08T00:00:00.0000000
3060000,5001,60600,11752,Iksan,2012-12-27T00:00:00.0000000
3061000,4,3061000,6635,Gwangyang,2011-09-08T00:00:00.0000000
3069000,4,3069000,2188,Gwangyang,2010-04-19T00:00:00.0000000
3072951,180,14,14063,Iksan,2011-12-13T00:00:00.0000000
3074200,1272,309290,7538,Iksan VIP,2013-05-30T00:00:00.0000000
3075000,50,61500,8626,Gunsan Chemical,2019-09-23T00:00:00.0000000
3077400,73,392400,2330,Iksan VIP,2018-07-27T00:00:00.0000000
3080000,2,3080000,1223,Gwangyang,2020-04-08T00:00:00.0000000
3080000,200,30800,7072,Iksan VIP,2017-05-30T00:00:00.0000000
3098400,1,3098400,1896,Gunsan RE,2018-11-19T00:00:00.0000000
3100000,1,3100000,9753,Gwangyang,2013-11-19T00:00:00.0000000
3100000,1,3100000,11601,Gwangyang,2017-01-21T00:00:00.0000000
3100000,1,3100000,12930,Iksan,2013-07-01T00:00:00.0000000
3100000,2,3100000,12348,Gwangyang,2020-05-21T00:00:00.0000000
3108147,0,71477,7260,Gunsan RE,2010-10-16T00:00:00.0000000
3110000,2,3110000,4312,Pohang,2020-05-11T00:00:00.0000000
3112000,7,3112000,13920,Gwangyang,2011-11-23T00:00:00.0000000
3120000,3,3120000,6070,Gwangyang,2015-08-13T00:00:00.0000000
3135000,950,3300,183,Gunsan Chemical,2014-06-25T00:00:00.0000000
3150000,1,3150000,3082,Gwangyang,2011-01-07T00:00:00.0000000
3150000,1,3150000,8183,Gwangyang,2018-03-19T00:00:00.0000000
3150000,26312,198725,8866,Jungbu Incheon,2017-03-30T00:00:00.0000000
3158000,8,394750,11251,Gwangyang,2019-06-18T00:00:00.0000000
3160000,1,19800000,7627,Pohang,2014-11-04T00:00:00.0000000
3166000,3,3166000,5592,Gwangyang,2016-04-05T00:00:00.0000000
3166600,19,1873700,2992,Iksan,2014-06-20T00:00:00.0000000
3174600,12,1737100,10323,Iksan,2011-03-11T00:00:00.0000000
3175000,2,3175000,6440,Gwangyang,2020-02-14T00:00:00.0000000
3187000,1,3187000,3892,Iksan,2018-09-06T00:00:00.0000000
3195000,2,3195000,749,Pohang,2020-01-10T00:00:00.0000000
3195000,2,3195000,7027,Gwangyang,2010-01-27T00:00:00.0000000
3195000,4,3195000,590,Gwangyang,2017-08-24T00:00:00.0000000
3200000,1,3200000,1545,Gwangyang,2018-07-05T00:00:00.0000000
3200000,1,3200000,2720,Pohang,2019-01-15T00:00:00.0000000
3200000,1,3200000,3597,Gwangyang,2015-12-15T00:00:00.0000000
3200000,1,3200000,4931,Pohang,2016-02-21T00:00:00.0000000
3200000,1,3200000,7170,Gwangyang,2013-03-15T00:00:00.0000000
3200000,2,3200000,3966,Gwangyang,2015-09-08T00:00:00.0000000
3200000,2000,1600,6198,Gunsan Chemical,2015-03-16T00:00:00.0000000
3200000,2000,1600,8181,Gunsan Chemical,2015-02-09T00:00:00.0000000
3200000,2000,1600,8615,Gunsan Chemical,2014-05-26T00:00:00.0000000
3206200,1,3206200,764,Pohang,2018-11-25T00:00:00.0000000
3206200,1,3206200,2394,Pohang,2018-12-25T00:00:00.0000000
3206200,1,3206200,3789,Pohang,2018-03-25T00:00:00.0000000
3206200,1,3206200,8106,Pohang,2018-09-25T00:00:00.0000000
3206200,1,3206200,10981,Pohang,2018-02-25T00:00:00.0000000
3210000,24,1465000,10542,Iksan VIP,2018-11-28T00:00:00.0000000
3216000,78,125000,10416,Iksan VIP,2020-05-22T00:00:00.0000000
3220597,1,1783,4281,Pohang,2011-03-09T00:00:00.0000000
3234000,6960,9635,13916,Iksan,2012-04-17T00:00:00.0000000
3240000,4000,810,14200,Iksan,2016-08-23T00:00:00.0000000
3243240,762,970340,3346,Iksan,2020-02-06T00:00:00.0000000
3245489,11088,0,8316,Gunsan RE,2019-07-05T00:00:00.0000000
3250000,4,3250000,7367,Gwangyang,2011-05-17T00:00:00.0000000
3250000,5000,650,7474,Gunsan Chemical,2015-01-09T00:00:00.0000000
3253150,20547,1998055,5858,Iksan,2017-07-11T00:00:00.0000000
3254000,1,3254000,13302,Gwangyang,2018-10-28T00:00:00.0000000
3255000,8,2210000,7178,Iksan,2017-07-14T00:00:00.0000000
3260000,1,3260000,4434,Gwangyang,2019-02-21T00:00:00.0000000
3276000,2,3276000,1540,Pohang,2019-02-19T00:00:00.0000000
3280000,16,205000,10040,Gunsan RE,2018-11-08T00:00:00.0000000
3290000,3,3290000,14416,Gwangyang,2019-07-12T00:00:00.0000000
3300000,1,3300000,1934,Gwangyang,2020-04-02T00:00:00.0000000
3300000,2,3300000,7802,Gwangyang,2012-01-17T00:00:00.0000000
3300000,1000,3300,12712,Jungbu Incheon,2010-02-06T00:00:00.0000000
3300000,5000,660,5823,Gunsan RE,2014-02-26T00:00:00.0000000
3319000,2,3319000,6188,Gwangyang,2014-09-18T00:00:00.0000000
3320000,3,3320000,466,Iksan VIP,2018-11-13T00:00:00.0000000
3320000,2000,1660,1106,Gunsan Chemical,2018-11-08T00:00:00.0000000
3320000,2000,1660,10678,Gunsan Chemical,2019-10-26T00:00:00.0000000
3320000,4000,830,10774,Iksan,2015-02-12T00:00:00.0000000
3326400,1,3326400,833,Gwangyang,2016-05-10T00:00:00.0000000
3340000,5176,3080,2687,Iksan,2018-05-10T00:00:00.0000000
3350000,301,1257000,9107,Iksan,2013-12-04T00:00:00.0000000
3360000,240,14000,1468,Gunsan Chemical,2011-12-08T00:00:00.0000000
3360000,240,14000,7134,Gunsan Chemical,2012-10-11T00:00:00.0000000
3360000,240,14000,13124,Gunsan Chemical,2017-12-11T00:00:00.0000000
3360000,240,14000,14092,Gunsan Chemical,2011-03-08T00:00:00.0000000
3363060,1200,2,11509,Iksan VIP,2020-05-04T00:00:00.0000000
3365000,85,113000,8998,Iksan VIP,2019-05-24T00:00:00.0000000
3368988,2,360000,4022,Gunsan Chemical,2015-02-02T00:00:00.0000000
3370000,2001,371500,7877,Iksan,2015-03-04T00:00:00.0000000
3380000,2,3380000,3212,Gwangyang,2014-05-27T00:00:00.0000000
3391605,27474,56696,10378,Iksan VIP,2017-04-30T00:00:00.0000000
3396000,72,98000,3213,Iksan,2018-06-22T00:00:00.0000000
3400000,1,3400000,1003,Gwangyang,2017-10-12T00:00:00.0000000
3400000,1,3400000,4339,Gwangyang,2011-06-01T00:00:00.0000000
3400000,1,3400000,4441,Gwangyang,2013-06-21T00:00:00.0000000
3400000,1,3400000,5438,Pohang,2013-12-22T00:00:00.0000000
3400000,1,3400000,6287,Gwangyang,2017-01-03T00:00:00.0000000
3400000,1,3400000,13018,Iksan,2011-05-10T00:00:00.0000000
3400000,1,3400000,14060,Pohang,2010-03-08T00:00:00.0000000
3400000,2,1700000,2932,Pohang,2010-10-20T00:00:00.0000000
3400000,4,3400000,5819,Gwangyang,2017-02-14T00:00:00.0000000
3400000,100,34000,5457,Iksan VIP,2014-09-29T00:00:00.0000000
3400000,2000,1700,952,Iksan,2017-11-09T00:00:00.0000000
3400000,2000,1700,5137,Iksan VIP,2012-11-26T00:00:00.0000000
3400000,2000,1700,9349,Iksan VIP,2013-01-26T00:00:00.0000000
3400000,4000,850,10808,Iksan VIP,2011-08-25T00:00:00.0000000
3400000,5000,680,2852,Gunsan Chemical,2010-06-24T00:00:00.0000000
3400000,5000,680,3487,Gunsan Chemical,2015-09-01T00:00:00.0000000
3400000,5000,680,4209,Gunsan Chemical,2010-04-26T00:00:00.0000000
3400000,5000,680,4517,Gunsan Chemical,2010-02-11T00:00:00.0000000
3400000,5000,680,7464,Gunsan Chemical,2010-01-12T00:00:00.0000000
3400000,5000,680,10023,Gunsan Chemical,2010-03-06T00:00:00.0000000
3400000,5000,680,14150,Gunsan Chemical,2010-06-14T00:00:00.0000000
3414000,660,14200,2753,Iksan,2018-10-04T00:00:00.0000000
3414000,660,14200,14427,Iksan,2018-09-12T00:00:00.0000000
3415000,49,265000,14046,Iksan VIP,2019-07-25T00:00:00.0000000
3420000,2,1710000,10748,Iksan,2011-05-06T00:00:00.0000000
3420000,3,3420000,6533,Gwangyang,2019-10-28T00:00:00.0000000
3434000,3,3434000,12501,Gwangyang,2016-07-22T00:00:00.0000000
3434604,39500,0,14264,Gunsan Chemical,2011-04-05T00:00:00.0000000
3446350,8,567200,4620,Gwangyang,2019-08-06T00:00:00.0000000
3448637,24,266,10298,Pohang,2011-06-03T00:00:00.0000000
3450000,2,3450000,12835,Gwangyang,2014-03-03T00:00:00.0000000
3464000,770,19700,10372,Iksan VIP,2019-01-28T00:00:00.0000000
3480000,1,3480000,14408,Gwangyang,2018-03-05T00:00:00.0000000
3490000,4,3490000,7028,Gwangyang,2018-03-26T00:00:00.0000000
3493200,6,582200,13087,Gwangyang,2013-08-10T00:00:00.0000000
3500000,1,3500000,912,Pohang,2018-07-03T00:00:00.0000000
3500000,1,3500000,1011,Iksan VIP,2011-02-24T00:00:00.0000000
3500000,1,3500000,1909,Gwangyang,2020-05-12T00:00:00.0000000
3500000,1,3500000,2141,Gwangyang,2010-10-09T00:00:00.0000000
3500000,1,3500000,2491,Pohang,2019-10-26T00:00:00.0000000
3500000,1,3500000,4822,Iksan,2015-07-18T00:00:00.0000000
3500000,1,3500000,5096,Gwangyang,2011-01-05T00:00:00.0000000
3500000,1,3500000,5314,Pohang,2014-02-24T00:00:00.0000000
3500000,1,3500000,5638,Gunsan Chemical,2015-07-13T00:00:00.0000000
3500000,1,3500000,7182,Pohang,2018-09-04T00:00:00.0000000
3500000,1,3500000,10001,Iksan,2015-01-17T00:00:00.0000000
3500000,1,3500000,11223,Pohang,2017-10-16T00:00:00.0000000
3500000,1,3500000,11998,Pohang,2020-04-06T00:00:00.0000000
